seed,p_2Q(%),Degree,Sample Variance
140.0,0.006999999999999999,2,5196968.180320516
141.0,0.006999999999999999,2,5243641.885367631
142.0,0.006999999999999999,2,5260410.927752444
143.0,0.006999999999999999,2,5210269.524478671
144.0,0.006999999999999999,2,5317090.023065231
145.0,0.006999999999999999,2,5102728.449881473
146.0,0.006999999999999999,2,5256299.654456656
147.0,0.006999999999999999,2,5132491.122554435
148.0,0.006999999999999999,2,5200587.983321147
149.0,0.006999999999999999,2,5209757.719100098
150.0,0.006999999999999999,2,0.36791320312399284
290.0,0.006999999999999999,3,3859646.627924074
291.0,0.006999999999999999,3,4282085.689317621
292.0,0.006999999999999999,3,4536200.164683387
293.0,0.006999999999999999,3,4271178.652654279
294.0,0.006999999999999999,3,3958673.9355734293
295.0,0.006999999999999999,3,3815798.609414871
296.0,0.006999999999999999,3,3912180.7530061104
297.0,0.006999999999999999,3,3816281.9916499536
298.0,0.006999999999999999,3,4323138.886486931
299.0,0.006999999999999999,3,4030717.4626930743
300.0,0.006999999999999999,3,1.2324932269546458
440.0,0.006999999999999999,4,3829810.8052319535
441.0,0.006999999999999999,4,3865980.385216951
442.0,0.006999999999999999,4,3623937.5360870855
443.0,0.006999999999999999,4,3875412.013872782
444.0,0.006999999999999999,4,3871643.793709075
445.0,0.006999999999999999,4,3816543.906940088
446.0,0.006999999999999999,4,3912180.7530061104
447.0,0.006999999999999999,4,3816281.9916499536
448.0,0.006999999999999999,4,3878755.3350894097
449.0,0.006999999999999999,4,3884220.9475547043
450.0,0.006999999999999999,4,0.6360989703485793
590.0,0.006999999999999999,5,3175220.2209413457
591.0,0.006999999999999999,5,3224528.2642504284
592.0,0.006999999999999999,5,3261183.62952775
593.0,0.006999999999999999,5,3172276.4414484813
594.0,0.006999999999999999,5,3279565.900697015
595.0,0.006999999999999999,5,3139212.3106336202
596.0,0.006999999999999999,5,3241405.0046323305
597.0,0.006999999999999999,5,3147831.236068049
598.0,0.006999999999999999,5,3505010.1535871173
599.0,0.006999999999999999,5,3197379.1634863317
600.0,0.006999999999999999,5,1.9620028161745204
740.0,0.006999999999999999,6,3175220.2209413457
741.0,0.006999999999999999,6,3224528.2642504284
742.0,0.006999999999999999,6,3261183.62952775
743.0,0.006999999999999999,6,3172276.4414484813
744.0,0.006999999999999999,6,3279565.900697015
745.0,0.006999999999999999,6,3139212.3106336202
746.0,0.006999999999999999,6,3241405.0046323305
747.0,0.006999999999999999,6,3147831.236068049
748.0,0.006999999999999999,6,3193044.6639243746
749.0,0.006999999999999999,6,3199680.071217158
750.0,0.006999999999999999,6,1.9620028161745204
890.0,0.006999999999999999,7,3175220.2209413457
891.0,0.006999999999999999,7,3224528.2642504284
892.0,0.006999999999999999,7,3261183.62952775
893.0,0.006999999999999999,7,3172276.4414484813
894.0,0.006999999999999999,7,3279565.900697015
895.0,0.006999999999999999,7,3139212.3106336202
896.0,0.006999999999999999,7,3241405.0046323305
897.0,0.006999999999999999,7,3147831.236068049
898.0,0.006999999999999999,7,3193044.6639243746
899.0,0.006999999999999999,7,3199680.071217158
900.0,0.006999999999999999,7,1.9620028161745204
1040.0,0.006999999999999999,8,3175220.2209413457
1041.0,0.006999999999999999,8,3224528.2642504284
1042.0,0.006999999999999999,8,3261183.62952775
1043.0,0.006999999999999999,8,3172276.4414484813
1044.0,0.006999999999999999,8,3279565.900697015
1045.0,0.006999999999999999,8,3139212.3106336202
1046.0,0.006999999999999999,8,3241405.0046323305
1047.0,0.006999999999999999,8,3147831.236068049
1048.0,0.006999999999999999,8,3193044.6639243746
1049.0,0.006999999999999999,8,3199680.071217158
1050.0,0.006999999999999999,8,1.9620028161745204
1190.0,0.006999999999999999,9,3175220.2209413457
1191.0,0.006999999999999999,9,3224528.2642504284
1192.0,0.006999999999999999,9,3261183.62952775
1193.0,0.006999999999999999,9,3172276.4414484813
1194.0,0.006999999999999999,9,3279565.900697015
1195.0,0.006999999999999999,9,3139212.3106336202
1196.0,0.006999999999999999,9,3241405.0046323305
1197.0,0.006999999999999999,9,3147831.236068049
1198.0,0.006999999999999999,9,3193044.6639243746
1199.0,0.006999999999999999,9,3199680.071217158
1200.0,0.006999999999999999,9,1.9620028161745204
1340.0,0.006999999999999999,10,3175220.2209413457
1341.0,0.006999999999999999,10,3224528.2642504284
1342.0,0.006999999999999999,10,3261183.62952775
1343.0,0.006999999999999999,10,3172276.4414484813
1344.0,0.006999999999999999,10,3279565.900697015
1345.0,0.006999999999999999,10,3139212.3106336202
1346.0,0.006999999999999999,10,3241405.0046323305
1347.0,0.006999999999999999,10,3147831.236068049
1348.0,0.006999999999999999,10,3193044.6639243746
1349.0,0.006999999999999999,10,3199680.071217158
1350.0,0.006999999999999999,10,1.9620028161745204
1490.0,0.006999999999999999,11,2635195.7246382334
1491.0,0.006999999999999999,11,2682776.121867547
1492.0,0.006999999999999999,11,2686612.5401196266
1493.0,0.006999999999999999,11,2622352.6048920862
1494.0,0.006999999999999999,11,2723951.819788355
1495.0,0.006999999999999999,11,2591478.3248870536
1496.0,0.006999999999999999,11,2697059.9259670307
1497.0,0.006999999999999999,11,2618003.083089507
1498.0,0.006999999999999999,11,2642459.1956476294
1499.0,0.006999999999999999,11,2644383.0699705235
130.0,0.009726468460611966,2,5067447.854782466
131.0,0.009726468460611966,2,5123964.8795443615
132.0,0.009726468460611966,2,5127762.3401155695
133.0,0.009726468460611966,2,5064073.321286026
134.0,0.009726468460611966,2,5179744.205207496
135.0,0.009726468460611966,2,4984495.62879196
136.0,0.009726468460611966,2,5138561.108368981
