seed,p_2Q(%),Degree,Bias (kcal/mol)
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,0.15292634739271424
0.0,0.03626943005181347,2,0.1608912745920747
0.0,0.03626943005181347,2,-0.00182806235634479
0.0,0.03626943005181347,2,-0.0018520978335721666
0.0,0.03626943005181347,2,0.017636316019633627
0.0,0.03626943005181347,2,0.031848996117219794
0.0,0.03626943005181347,2,0.18723264094361358
0.0,0.03626943005181347,2,0.29094193786160544
0.0,0.03626943005181347,2,2.466110370016696e-07
0.0,0.03626943005181347,2,-6.902599000166958e-08
0.0,0.03626943005181347,2,1.25501784593658e-09
0.0,0.03626943005181347,2,0.0009914159018075495
0.0,0.03626943005181347,2,7.53010794106307e-09
0.0,0.03626943005181347,2,2.11533283856499e-06
0.0,0.03626943005181347,2,5.961335461204231e-08
0.0,0.03626943005181347,2,1.1241823734916272e-05
0.0,0.03626943005181347,2,7.530107974297069e-08
0.0,0.03626943005181347,2,4.2043103000000004e-08
0.0,0.03626943005181347,2,0.0008845856321022952
0.0,0.03626943005181347,2,8.213583998275081e-19
0.0,0.03626943005181347,2,-3.2451773048850995e-17
0.0,0.03626943005181347,2,1.0806959998054459e-05
0.0,0.03626943005181347,2,-1.4602134421149702e-06
0.0,0.03626943005181347,2,2.1962815009043662e-08
0.0,0.03626943005181347,2,3.36972332932089e-07
0.0,0.03626943005181347,2,-1.4432707000000002e-08
0.0,0.03626943005181347,2,5.660131180000001e-07
0.0,0.03626943005181347,2,-0.0013555085462780001
0.0,0.03626943005181347,2,-4.963596189994727e-07
0.0,0.03626943005181347,2,7.955935607411842e-05
0.0,0.03626943005181347,2,8.156550234698489e-05
0.0,0.03626943005181347,2,0.00168075775614
0.0,0.03626943005181347,2,2.7610396000000004e-08
0.0,0.03626943005181347,2,-0.00010252242042064847
0.0,0.03626943005181347,2,-0.00010942439191223925
0.0,0.03626943005181347,2,0.028168336023764087
0.0,0.03626943005181347,2,0.0016675926173199999
0.0,0.03626943005181347,2,-2.7610396000000004e-08
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,0.08000844396732902
0.0,0.03626943005181347,2,0.07730172874747435
0.0,0.03626943005181347,2,0.07844062653602708
0.0,0.03626943005181347,2,0.031062690373476403
0.0,0.03626943005181347,2,-7.628136779488661e-18
0.0,0.03626943005181347,2,3.7650540000002126e-09
0.0,0.03626943005181347,2,1.0266979997843783e-19
0.0,0.03626943005181347,2,-2.648087980325371e-07
0.0,0.03626943005181347,2,-7.530107852912878e-09
0.0,0.03626943005181347,2,0.00061928721628418
0.0,0.03626943005181347,2,0.000634819946559713
0.0,0.03626943005181347,2,-1.0730403903244237e-07
0.0,0.03626943005181347,2,3.2630468e-08
0.0,0.03626943005181347,2,-1.2788633420064086e-06
0.0,0.03626943005181347,2,3.0747941e-07
0.0,0.03626943005181347,2,-3.0842067353768043e-06
0.0,0.03626943005181347,2,-1.2236425504566635e-07
0.0,0.03626943005181347,2,-8.157617e-09
0.0,0.03626943005181347,2,5.647581010170734e-09
0.0,0.03626943005181347,2,-0.0008285189579699177
0.0,0.03626943005181347,2,-0.0008125915245320086
0.0,0.03626943005181347,2,-6.416862498654166e-21
0.0,0.03626943005181347,2,-8.249360173744419e-34
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,4.36738350234863e-22
0.0,0.03626943005181347,2,-3.1158058277583204e-17
0.0,0.03626943005181347,2,6.651595400841266e-08
0.0,0.03626943005181347,2,1.6942742992873987e-08
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,1.1169660200892052e-07
0.0,0.03626943005181347,2,-0.0
0.0,0.03626943005181347,2,2.5495690669841235e-06
0.0,0.03626943005181347,2,2.781747397018532e-06
0.0,0.03626943005181347,2,-3.1569977790379247e-06
0.0,0.03626943005181347,2,-3.7650542184615124e-09
0.0,0.03626943005181347,2,3.765054023126263e-09
0.0,0.03626943005181347,2,-0.0
0.0,0.03626943005181347,2,-1.01240239187314e-50
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,2.0008379828504264e-17
0.0,0.03626943005181347,2,-6.965349904506604e-08
0.0,0.03626943005181347,2,2.7768528267999998e-05
0.0,0.03626943005181347,2,6.275089946281873e-10
0.0,0.03626943005181347,2,-6.7143463e-08
0.0,0.03626943005181347,2,-1.78840065e-07
0.0,0.03626943005181347,2,-2.1335306000000002e-07
0.0,0.03626943005181347,2,-7.028100800000001e-08
0.0,0.03626943005181347,2,1.3805198000000002e-08
0.0,0.03626943005181347,2,-8.157617e-08
0.0,0.03626943005181347,2,1.3018528261837194e-33
0.0,0.03626943005181347,2,-7.9693643e-08
0.0,0.03626943005181347,2,-3.675542569266367e-17
0.0,0.03626943005181347,2,3.01196830259984e-18
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,-4.4194072771918406e-34
0.0,0.03626943005181347,2,-0.0
0.0,0.03626943005181347,2,-9.240630770570958e-19
0.0,0.03626943005181347,2,-6.27509e-10
0.0,0.03626943005181347,2,4.684788351434916e-35
0.0,0.03626943005181347,2,4.603549247074776e-36
0.0,0.03626943005181347,2,-5.191043152516632e-18
0.0,0.03626943005181347,2,2.0772286784591758e-18
0.0,0.03626943005181347,2,-0.0
0.0,0.03626943005181347,2,-0.0
0.0,0.03626943005181347,2,-0.0
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,0.0
0.0,0.03626943005181347,2,5.212723088901446e-37
