Unnamed: 0,kernel,molecule,backend,expect,expect_ideal,expect_sq,expect_sq_ideal,fidelity,depth,n_2qubit,Kernel,std,std_ideal,bias,bias_rel,Molecule,Groups
0,fc,H4,ionq_aria1,-1.079343517947166,-1.079343517947166,1.219493386946882,1.219493386946882,1.0,0,0,FC,0.23347581718952803,0.23347581718952803,0.0,0.0,$\mathrm{H_4}$,1
1,fc,H4,ionq_aria1,-0.046163468333973175,-0.16951866867183857,0.07193763816594688,0.07193763816594688,0.3001212,49,12,FC,0.2642093343493472,0.20784864478190446,0.1233552003378654,0.7276791476970694,$\mathrm{H_4}$,1
2,fc,H4,ionq_aria1,-0.013485467543846053,-0.02054741475017541,0.016086924268501165,0.016086924268501165,0.6428004,12,4,FC,0.12611529024517623,0.12515881117838024,0.007061947206329359,0.3436903032421182,$\mathrm{H_4}$,1
3,fc,H4,ionq_aria1,-0.02170750806482851,-0.042256864631185796,0.025911676756749664,0.025911676756749664,0.3943814,28,9,FC,0.1595006609715617,0.15532557467555466,0.020549356566357285,0.4862962916371166,$\mathrm{H_4}$,1
4,fc,H4,ionq_aria1,-0.004278786898940334,-0.004857503873989065,0.0012683373359473411,0.0012683373359473411,0.8025091,12,2,FC,0.03535575368480776,0.03528090123652629,0.0005787169750487309,0.11913875728388842,$\mathrm{H_4}$,1
5,fc,H4,ionq_aria1,-0.001454308421891131,-0.004857503873988832,0.0007536877843839529,0.0007536877843839529,0.3215594,35,11,FC,0.02741482758286051,0.027020222806226755,0.0034031954520977008,0.7006058132699134,$\mathrm{H_4}$,1
6,fc,H4,ionq_aria1,-0.0016315805431852477,-0.004857503873988825,0.0007536877843839527,0.0007536877843839527,0.3535068,35,10,FC,0.02740484864608911,0.027020222806226752,0.003225923330803577,0.6641113243528004,$\mathrm{H_4}$,1
7,fc,H4,ionq_aria1,-0.0077369205992626295,-0.010892222395817863,0.0014471129069055738,0.0014471129069055738,0.7290934,24,3,FC,0.03724584495680397,0.03644821529493066,0.0031553017965552333,0.2896839305968203,$\mathrm{H_4}$,1
8,fc,H4,ionq_aria1,-3.8816720592413584e-14,1.0805621249796644e-14,1.9476169955294334e-15,1.9476169955294334e-15,0.8021192,12,2,FC,4.413181387081123e-08,4.413181387082698e-08,-4.9622341842210226e-14,4.9622341842210226e-14,$\mathrm{H_4}$,1
9,fc,H4,ionq_aria1,3.137399537587953e-14,-8.178175695265101e-14,6.1128342468793534e-15,6.1128342468793534e-15,0.7190326,24,3,FC,7.818461643365892e-08,7.818461643362246e-08,1.1315575232853054e-13,1.1315575232853054e-13,$\mathrm{H_4}$,1
0,qwc,H4,ionq_aria1,-1.079343517947166,-1.079343517947166,1.219493386946882,1.219493386946882,1.0,0,0,QWC,0.23347581718952803,0.23347581718952803,0.0,0.0,$\mathrm{H_4}$,1
1,qwc,H4,ionq_aria1,-0.007334330057909057,-0.007367014697093129,0.0014649697612399413,0.0014649697612399413,0.9954975,4,0,QWC,0.03756564073513978,0.037559244610252146,3.268463918407183e-05,0.004436619245101888,$\mathrm{H_4}$,1
2,qwc,H4,ionq_aria1,-0.0073343300579090534,-0.007367014697093126,0.0014649697612399413,0.0014649697612399413,0.9954975,3,0,QWC,0.03756564073513978,0.03755924461025215,3.2684639184072696e-05,0.004436619245102007,$\mathrm{H_4}$,1
3,qwc,H4,ionq_aria1,-0.007334330057909054,-0.007367014697093125,0.0014649697612399413,0.0014649697612399413,0.9954975,4,0,QWC,0.03756564073513978,0.03755924461025215,3.268463918407096e-05,0.004436619245101772,$\mathrm{H_4}$,1
